Pair,Procedure,prime_word,target_word,word2veccosine,LSA,Undirected,newdirected,pathlength,UPMFG_Cat,ACN_0.1,ACN.r.cat,zRTTarget_trim,mean_len_c,mean_logf_c,mean_ldtz_c,mean_conc_c,directedcollapsed,undirectedfac,kenettfac,directedfac,path_28,path_29,path_30,path_31,path_32,path_33,path_34,path_35,dijkstra_28,dijkstra_29,dijkstra_30,dijkstra_31,dijkstra_32,dijkstra_33,dijkstra_34,dijkstra_35,decay_28
ABDUCT-WAGE,S1,ABDUCT,WAGE,0.08222691,0.01,3,5,4,4,3,3,-0.075859304,-1.072806821,-1.440433083,0.22947201,-0.403880644,5,3,4,5,3,3,3,3,3,3,3,4,1.733282464,1.733282464,1.861609241,1.861609241,1.861609241,1.861609241,1.861609241,2.176664616,1.883134937
ABSURD-OUTRAGEOUS,S2,ABSURD,OUTRAGEOUS,0.739138059,0.29,1,1,1,1,1,5,-0.208663804,-0.072806821,-0.282433083,0.13147201,-2.018880644,1,1,1,1,2,2,2,2,2,2,2,2,0.77946539,0.77946539,0.77946539,0.77946539,0.77946539,0.77946539,0.77946539,0.77946539,0.819821604
ADJECTIVE-REVIEW,S2,ADJECTIVE,REVIEW,0.06093367,0.1,3,4,3,1,2,2,0.546849565,1.427193179,0.127566917,-0.00302799,-1.118880644,4,3,3,4,3,3,3,3,3,3,3,4,1.717469638,1.717469638,1.717469638,1.717469638,1.717469638,1.717469638,1.717469638,1.969638866,1.881743102
ADORE-LUST,S2,ADORE,LUST,0.34671182,0.26,2,3,1,1,1,5,-0.5344406,-1.572806821,-0.849433083,0.02447201,-1.493880644,3,2,1,3,1,1,1,1,1,1,1,2,0.653288005,0.653288005,0.653288005,0.653288005,0.653288005,0.653288005,0.653288005,0.827763572,0.653288005
AGAIN-ENGAGE,S2,AGAIN,ENGAGE,0.094806035,0.1,2,3,2,4,2,4,0.195819314,0.427193179,2.684566917,-0.18052799,-1.703880644,3,2,2,3,2,2,2,2,3,3,3,3,1.376007314,1.376007314,1.376007314,1.376007314,1.692983704,1.692983704,1.692983704,1.777266738,1.444755541
AGENT-CUSS,S1,AGENT,CUSS,0.082417983,0.02,3,6,6,3,3,1,1.304419582,-1.572806821,-0.803933083,0.15897201,-0.363880644,H,3,6,6,3,3,3,4,4,4,4,6,1.899894694,1.899894694,1.899894694,2.530216429,2.571920188,3.180667173,3.403268687,3.408956903,2.093239626
ALGEBRA-FORESIGHT,S2,ALGEBRA,FORESIGHT,0.034402119,0.03,3,7,6,3,3,2,0.936078451,-0.072806821,0.887066917,-0.05102799,-1.273880644,H,3,6,7,3,3,3,3,3,3,3,3,1.612672392,1.612672392,1.812488754,1.862972079,1.862972079,1.862972079,1.862972079,1.862972079,1.823434251
ALTER-MAGNET,S2,ALTER,MAGNET,0.02556319,0,4,5,15,3,3,3,0.189189862,-1.072806821,-0.261933083,0.07797201,0.146119356,5,4,15,5,3,4,4,4,4,4,4,4,1.809789669,2.430149649,2.488569183,2.488569183,2.488569183,2.488569183,2.488569183,N/A,1.997224383
ALUMINUM-VICTIM,S1,ALUMINUM,VICTIM,0.05877315,-0.05,4,4,3,3,2,2,0.323699971,0.927193179,0.416566917,0.18497201,0.496119356,4,4,3,4,3,3,3,4,4,4,4,4,1.924279483,1.924279483,2.033993031,2.204568292,2.204568292,2.204568292,2.204568292,2.204568292,2.127734972
AMBULANCE-FUSS,S2,AMBULANCE,FUSS,-0.012715795,0.06,3,5,6,4,2,1,0.55374472,2.427193179,-0.138433083,0.16847201,-0.118880644,5,3,6,5,3,3,3,4,4,4,4,4,1.934148745,1.934148745,1.934148745,2.33109196,2.352370184,2.352370184,2.352370184,2.352370184,2.142847768
ANCHOR-RELEASE,S2,ANCHOR,RELEASE,-0.004097074,0.08,2,2,6,4,2,4,0.088288448,0.427193179,0.941066917,-0.17152799,0.266119356,2,2,6,2,3,3,3,3,6,7,7,7,3.396251578,3.472579235,3.566367388,3.566367388,3.770432624,4.276000534,4.276000534,4.276000534,4.115140463
